Syllable,P_Value,FDR_Corrected_P_Value
2,0.020136751550346346,0.13088888507725124
12,0.009823274507519268,0.13088888507725124
14,0.020136751550346346,0.13088888507725124
15,0.014171388254012329,0.13088888507725124
23,0.004508698364904252,0.13088888507725124
24,0.02818580214790743,0.1665524672376348
27,0.020136751550346346,0.13088888507725124
33,0.020136751550346346,0.13088888507725124
51,0.009823274507519268,0.13088888507725124
59,0.009823274507519268,0.13088888507725124
61,0.020136751550346346,0.13088888507725124
