Syllable,P_Value,FDR_Corrected_P_Value
1,0.004508698364904252,0.09768846457292546
2,0.038867103812417335,0.22966924980064787
10,0.004508698364904252,0.09768846457292546
13,0.02818580214790743,0.20356412662377588
17,0.02818580214790743,0.20356412662377588
22,0.038867103812417335,0.22966924980064787
26,0.009823274507519268,0.15962821074718808
29,0.0019457736937391488,0.09768846457292546
31,0.02818580214790743,0.20356412662377588
32,0.02818580214790743,0.20356412662377588
33,0.020136751550346346,0.20356412662377588
