Syllable,P_Value,FDR_Corrected_P_Value
6,0.010405619868873535,0.12322485418748155
8,0.0373729883406513,0.14118684484246047
13,0.03704073059193797,0.14118684484246047
15,0.010405619868873535,0.12322485418748155
19,0.024974679293054206,0.1306367839944374
21,0.01630917187775491,0.12322485418748155
23,0.01630917187775491,0.12322485418748155
27,0.010405619868873535,0.12322485418748155
32,0.024974679293054206,0.1306367839944374
34,0.01630917187775491,0.12322485418748155
35,0.0373729883406513,0.14118684484246047
42,0.01630917187775491,0.12322485418748155
44,0.003947751856903446,0.12322485418748155
48,0.024974679293054206,0.1306367839944374
56,0.024974679293054206,0.1306367839944374
59,0.0373729883406513,0.14118684484246047
61,0.010405619868873535,0.12322485418748155
62,0.03704073059193797,0.14118684484246047
