Syllable,P_Value,FDR_Corrected_P_Value
1,0.032124571207656626,0.14563138947471005
6,0.004274733960172562,0.07527470206616868
12,0.010127990549390701,0.07652259526206308
18,0.032124571207656626,0.14563138947471005
22,0.0026997960632601883,0.07527470206616868
25,0.032124571207656626,0.14563138947471005
27,0.032124571207656626,0.14563138947471005
30,0.010127990549390665,0.07652259526206308
31,0.010127990549390701,0.07652259526206308
38,0.006641885476426649,0.07527470206616868
39,0.032124571207656626,0.14563138947471005
43,0.006641885476426649,0.07527470206616868
46,0.006641885476426649,0.07527470206616868
49,0.04550026389635857,0.18200105558543428
52,0.031888403341330675,0.14563138947471005
54,0.0026997960632601883,0.07527470206616868
56,0.04550026389635857,0.18200105558543428
