group,uuid,syllable,usage,duration,frame index_mean,frame index_std,frame index_min,frame index_max,kappa_mean,kappa_std,kappa_min,kappa_max,angle_mean,angle_std,angle_min,angle_max,area_mm_mean,area_mm_std,area_mm_min,area_mm_max,area_px_mean,area_px_std,area_px_min,area_px_max,centroid_x_mm_mean,centroid_x_mm_std,centroid_x_mm_min,centroid_x_mm_max,centroid_x_px_mean,centroid_x_px_std,centroid_x_px_min,centroid_x_px_max,centroid_y_mm_mean,centroid_y_mm_std,centroid_y_mm_min,centroid_y_mm_max,centroid_y_px_mean,centroid_y_px_std,centroid_y_px_min,centroid_y_px_max,height_ave_mm_mean,height_ave_mm_std,height_ave_mm_min,height_ave_mm_max,length_mm_mean,length_mm_std,length_mm_min,length_mm_max,length_px_mean,length_px_std,length_px_min,length_px_max,velocity_2d_mm_mean,velocity_2d_mm_std,velocity_2d_mm_min,velocity_2d_mm_max,velocity_2d_px_mean,velocity_2d_px_std,velocity_2d_px_min,velocity_2d_px_max,velocity_3d_mm_mean,velocity_3d_mm_std,velocity_3d_mm_min,velocity_3d_mm_max,velocity_3d_px_mean,velocity_3d_px_std,velocity_3d_px_min,velocity_3d_px_max,velocity_theta_mean,velocity_theta_std,velocity_theta_min,velocity_theta_max,width_mm_mean,width_mm_std,width_mm_min,width_mm_max,width_px_mean,width_px_std,width_px_min,width_px_max,dist_to_center_px_mean,dist_to_center_px_std,dist_to_center_px_min,dist_to_center_px_max,timestamps_mean,timestamps_std,timestamps_min,timestamps_max,syllable key
EE_Normal_Female,0ec4e3fd-cca9-4f88-a34c-9a995e4800e6,0,0.026380068392769906,0.40802469135802466,15571.27,7447.144,2139.0,33367.0,4641589.0,0.0,4641589.0,4641589.0,14.307258,9.443656,-1.1041532,39.220325,690.2286,45.684162,577.8619,850.9724,414.47504,27.432861,347.0,511.0,-207.01408,95.62966,-357.48276,-58.443832,130.05902,58.178135,38.51852,220.44458,-158.77399,96.01269,-312.84412,38.14345,117.87697,56.917416,26.54244,234.61188,22.609583,1.762054,19.265152,33.753426,54.739838,3.9338946,46.114655,69.06166,33.30203,2.3932602,28.054733,42.014984,1.6996945,1.1920748,0.07430962,6.889794,1.0199271,0.7136307,0.044961154,4.085404,1.9136424,1.1637446,0.10636413,6.9087005,1.3044314,0.7446294,0.088390686,4.1172085,-0.005579919,1.8777841,-3.1377974,3.108516,26.151382,1.5008068,22.371952,31.412745,15.502836,0.8896953,13.262348,18.621832,78.71236,22.178976,9.686521,113.38555,12932908.12837656,248259.8185469561,12485138.916,13526570.8542,labels (usage sort)
EE_Normal_Female,3d5c8570-ee1a-4a69-b9f2-ee1fcb70740a,0,0.028219599794766546,0.38484848484848483,20295.984,10174.822,168.0,35351.0,4641589.0,0.0,4641589.0,4641589.0,0.46958748,9.812625,-27.281397,15.317696,719.4465,50.699265,588.6559,927.88135,432.65353,30.489016,354.0,558.0,-217.19957,95.07915,-375.385,-56.235634,123.66873,57.928036,27.292482,221.73781,-149.79065,96.58151,-304.23636,27.236887,123.07219,57.33857,31.380775,228.17001,23.03178,1.785303,19.221992,31.327314,55.598145,3.9944727,45.77459,69.34913,33.87379,2.4336774,27.888681,42.25173,1.5133128,1.0977148,0.015381745,12.199173,0.9096513,0.6586763,0.009135953,7.278492,1.7209799,1.0754943,0.06872757,12.199176,1.1863165,0.69100255,0.06577881,7.2784963,-0.17747469,1.8730026,-3.140328,3.1259906,27.001303,1.4808019,23.218325,32.38191,16.03015,0.8791234,13.784269,19.224512,79.74623,18.534616,14.8664875,113.375404,13153975.442887707,339290.3949985366,12482831.1624,13656430.4815,labels (usage sort)
EE_Normal_Female,6b955156-f120-43f1-85d0-68dd7b8744fa,0,0.05300500834724541,0.38792650918635174,17086.123,10964.553,16.0,35872.0,4641589.0,0.0,4641589.0,4641589.0,18.201107,13.211907,-4.8828516,62.50404,710.1737,47.121704,557.8782,899.2663,426.45187,28.29609,335.0,540.0,-194.5594,83.9108,-378.83228,-38.92767,137.63606,51.04874,25.530136,232.31761,-160.10995,99.222496,-317.31207,17.23178,117.08499,58.820225,23.893799,222.2152,23.252571,1.7056234,19.791285,31.856833,54.81711,3.9191992,42.73129,67.91249,33.349037,2.3843198,25.996399,41.315865,1.9489509,1.5027958,0.0,19.283928,1.1699641,0.90100956,0.0,11.431744,2.1483402,1.4553936,0.0,19.30293,1.4386677,0.88751316,0.0,11.46377,-0.0021402608,1.9149966,-3.1397226,3.1366549,26.816692,1.3655387,22.824715,31.553516,15.897241,0.8095069,13.53075,18.705284,76.25759,20.710915,5.8455296,107.00915,9371042.891382145,367777.12831894733,8797008.6812,9992707.4584,labels (usage sort)
EE_Normal_Female,76126d36-eb9d-4971-b8cb-90694b8811c4,0,0.02160619649408887,0.340251572327044,12944.017,9494.3125,258.0,34347.0,4641589.0,0.0,4641589.0,4641589.0,12.250207,11.887129,-8.309734,45.591774,672.98145,42.976707,562.8741,824.32745,404.1183,25.807064,338.0,495.0,-207.88828,108.113304,-377.03534,-46.91899,129.52719,65.772804,26.623325,227.45593,-161.7473,103.4742,-320.66177,24.294601,116.114365,61.340683,21.908058,226.40211,21.797874,1.8115286,17.672646,31.166666,54.36205,3.9766524,45.898815,70.18292,33.072193,2.4192727,27.923424,42.69713,1.9138057,1.3315054,0.050759077,8.248541,1.1492391,0.7982682,0.03021826,4.9148707,2.14971,1.280041,0.20849027,8.26517,1.4616855,0.8036925,0.13823856,4.942729,0.040416975,1.7605428,-3.1276789,3.13283,25.630667,1.3481928,21.907887,29.730581,15.194151,0.79922396,12.987245,17.624626,88.93268,16.597326,16.409159,108.74822,11116131.872238815,316476.9077823756,10693265.199,11829564.5392,labels (usage sort)
EE_Normal_Female,79faa665-dd9d-4825-a7d7-4f03faccbffd,0,0.01995133819951338,0.3105691056910569,15553.6045,11928.532,92.0,32736.0,4641589.0,0.0,4641589.0,4641589.0,-8.759828,9.683967,-27.717157,9.053939,693.59955,48.865074,583.6673,859.7037,417.10995,29.38599,351.0,517.0,-212.79675,97.29121,-365.35684,-75.074234,126.3512,59.275757,33.402256,210.26018,-139.43526,82.981346,-277.81888,5.715243,129.21999,49.264416,47.06432,215.39304,22.33022,1.5373352,17.330143,28.733871,55.32127,4.4335523,43.118664,67.68163,33.705105,2.7011914,26.270529,41.235794,1.7458376,1.114521,0.05916587,5.6128626,1.0489807,0.6692425,0.03603092,3.3472235,1.9301443,1.074724,0.064133115,5.6495643,1.3010173,0.6679871,0.04371136,3.43007,-0.11785948,1.7040051,-3.1370873,3.1379707,26.060038,1.6293876,21.643003,30.044054,15.471339,0.9673358,12.849031,17.836573,74.234276,20.62886,10.507421,103.36022,14761818.91189397,397647.20736619306,14246404.1167,15334603.0108,labels (usage sort)
EE_Normal_Female,a7f0ee96-df45-4497-be79-97036aee7a5e,0,0.024,0.37543859649122807,13739.657,9323.996,27.0,35008.0,4641589.0,0.0,4641589.0,4641589.0,4.304492,6.87936,-11.220259,27.550932,700.99286,50.791397,560.3871,891.2982,421.55606,30.544422,337.0,536.0,-208.1496,90.78352,-363.5068,-54.040195,129.18253,55.310875,34.52941,223.07541,-158.57536,96.079865,-315.41022,33.29908,117.85688,57.040752,24.747076,231.76901,22.475636,1.8482267,18.557066,31.718447,54.28075,3.8775976,44.839687,67.87139,33.071156,2.36247,27.31908,41.351406,1.6531258,1.1924655,0.03608545,7.0306673,0.99409485,0.71784216,0.02143788,4.2709765,1.874777,1.1705949,0.21912344,7.0371804,1.2864908,0.76087135,0.1310657,5.1209435,-0.2630403,1.8063421,-3.134535,3.1314168,26.760149,1.4959437,23.023298,33.588512,15.886982,0.8881128,13.668486,19.940847,76.55696,22.762144,7.0892005,108.950775,14731149.03681231,310902.8260541724,14274001.1242,15440667.5197,labels (usage sort)
EE_Normal_Female,aef17057-1f98-4525-b1d5-83ad07bc8d66,0,0.029232643118148598,0.40694444444444444,12533.723,9917.399,435.0,35598.0,4641589.0,0.0,4641589.0,4641589.0,-1.5230428,8.761329,-28.574053,13.031668,690.22754,41.582035,557.8782,842.6459,414.4744,24.969576,335.0,506.0,-194.98431,75.09454,-387.13147,-54.922817,137.37755,45.685204,20.481163,222.58665,-177.55177,104.33264,-317.6607,15.389746,106.745285,61.84958,23.687119,221.12321,22.727041,1.7657572,19.183332,31.026066,54.547764,3.7946017,42.020714,66.61335,33.185177,2.3085186,25.564106,40.52551,2.1180344,1.5272262,0.028667476,9.429581,1.2730455,0.9173929,0.01705253,5.64268,2.3434143,1.4797324,0.2143282,9.547349,1.5730151,0.922367,0.16349742,5.837357,-0.31679633,1.9173471,-3.1341217,3.1378248,26.261536,1.485269,22.539389,30.955925,15.568137,0.8804844,13.361606,18.351025,76.715775,21.902046,12.442437,107.53252,7341387.549593051,330624.48194877215,6938077.7,8110442.3789,labels (usage sort)
EE_Normal_Female,b3689ad7-5f4f-43c1-8a45-ddc9876a92e9,0,0.04006410256410257,0.3783333333333333,16928.953,10530.205,94.0,35827.0,4641589.0,0.0,4641589.0,4641589.0,-1.409478,11.184322,-29.646267,21.820974,703.3175,44.05066,596.18024,920.91534,422.3348,26.45196,358.0,553.0,-228.19449,94.573555,-384.5946,-46.30762,117.17351,57.535633,22.024496,227.82787,-193.71498,93.1114,-320.40256,6.776121,97.16356,55.1975,22.061714,216.01697,23.049122,1.7587724,18.142529,32.937798,54.018196,3.928063,42.907536,70.732834,32.863007,2.3897123,26.10362,43.031673,1.8574704,1.2438059,0.026974887,7.839517,1.1157815,0.74791473,0.01603878,4.7352133,2.0624766,1.2108161,0.12125151,7.8402195,1.3903257,0.7707641,0.08995406,4.736376,0.06453666,1.8770818,-3.1377919,3.138649,26.956472,1.349889,23.395086,32.19539,15.9801035,0.8002296,13.868873,19.085793,83.86215,17.2265,27.405684,108.46375,11101489.149439203,351143.56197299913,10540206.8995,11732239.6828,labels (usage sort)
EE_Normal_Male,0ef5b251-2d05-4f3d-a3eb-197a7f61e4dd,0,0.0481283422459893,0.4548821548821549,18108.385,11532.407,141.0,35756.0,4641589.0,0.0,4641589.0,4641589.0,-1.8714552,9.497463,-25.58513,13.249272,846.3931,49.84635,707.7559,1069.1277,508.25018,29.932213,425.0,642.0,-219.46506,93.63768,-385.19577,-49.879513,122.48422,56.966278,21.65878,225.65485,-131.3196,93.494965,-312.46295,24.766348,134.15225,55.42488,26.768414,226.68178,25.83873,1.5259587,21.866667,35.263462,56.5498,3.382178,48.51903,68.35705,34.403152,2.057613,29.517483,41.586323,1.3662796,0.9521185,0.0,7.452428,0.8198449,0.57043046,0.0,4.4663773,1.5408331,0.92781305,0.0,7.4734344,1.0537833,0.59066284,0.0,4.50134,-0.026842741,1.8399913,-3.1334186,3.136933,30.921656,1.5493685,26.21481,35.764946,18.33071,0.91848326,15.540437,21.201866,76.38581,23.867233,2.3003144,105.869736,12618314.345658757,384496.66499070474,12019345.3491,13207277.5277,labels (usage sort)
EE_Normal_Male,1089a9f2-2fbf-460f-a0d2-778bce418f66,0,0.030933062880324543,0.40491803278688526,20696.195,11508.424,100.0,34857.0,4641589.0,0.0,4641589.0,4641589.0,5.6644564,4.790587,-4.9109073,18.856466,783.89484,48.846516,619.49457,915.9194,470.72064,29.33182,372.0,550.0,-215.58792,79.2267,-346.78214,-65.50193,124.84296,48.19908,45.02845,216.15065,-145.60281,116.09538,-312.68744,20.972832,125.685,68.82267,26.63532,224.43294,24.841604,1.9944922,20.95,34.086136,54.767273,3.4418755,45.736073,66.09251,33.318718,2.093931,27.824415,40.208645,1.0813891,0.7216567,0.04304979,4.1344337,0.6493283,0.4332727,0.025790485,2.5038266,1.2804142,0.7211021,0.090410456,4.163867,0.9097436,0.5010625,0.06527642,3.2411757,-0.061062135,1.8199295,-3.1359608,3.133135,29.532095,1.7712053,25.506886,36.084553,17.506962,1.0499907,15.120771,21.391335,81.085106,22.047945,2.217154,108.3485,2401108.499126584,383798.66844322445,1714411.9565,2874112.6904,labels (usage sort)
