group,uuid,syllable,usage,duration,frame index_mean,frame index_std,frame index_min,frame index_max,kappa_mean,kappa_std,kappa_min,kappa_max,angle_mean,angle_std,angle_min,angle_max,area_mm_mean,area_mm_std,area_mm_min,area_mm_max,area_px_mean,area_px_std,area_px_min,area_px_max,centroid_x_mm_mean,centroid_x_mm_std,centroid_x_mm_min,centroid_x_mm_max,centroid_x_px_mean,centroid_x_px_std,centroid_x_px_min,centroid_x_px_max,centroid_y_mm_mean,centroid_y_mm_std,centroid_y_mm_min,centroid_y_mm_max,centroid_y_px_mean,centroid_y_px_std,centroid_y_px_min,centroid_y_px_max,height_ave_mm_mean,height_ave_mm_std,height_ave_mm_min,height_ave_mm_max,length_mm_mean,length_mm_std,length_mm_min,length_mm_max,length_px_mean,length_px_std,length_px_min,length_px_max,velocity_2d_mm_mean,velocity_2d_mm_std,velocity_2d_mm_min,velocity_2d_mm_max,velocity_2d_px_mean,velocity_2d_px_std,velocity_2d_px_min,velocity_2d_px_max,velocity_3d_mm_mean,velocity_3d_mm_std,velocity_3d_mm_min,velocity_3d_mm_max,velocity_3d_px_mean,velocity_3d_px_std,velocity_3d_px_min,velocity_3d_px_max,velocity_theta_mean,velocity_theta_std,velocity_theta_min,velocity_theta_max,width_mm_mean,width_mm_std,width_mm_min,width_mm_max,width_px_mean,width_px_std,width_px_min,width_px_max,dist_to_center_px_mean,dist_to_center_px_std,dist_to_center_px_min,dist_to_center_px_max,timestamps_mean,timestamps_std,timestamps_min,timestamps_max,syllable key
LNB_Mom_Female,06f178be-3ba4-4c4b-b795-05703f6a3e0e,0,0.09498834498834499,0.12177914110429448,28795.275,10719.232,8.0,35978.0,127427.0,0.0,127427.0,127427.0,7.9738035,4.7563076,-11.853339,25.187174,898.15063,74.35227,602.0564,1160.7513,538.54156,44.582485,361.0,696.0,-264.51538,68.59688,-384.14218,-31.017351,95.31228,41.671207,22.641418,237.1576,-57.272144,96.73096,-333.27798,41.9513,178.09805,57.259377,14.717861,236.83286,25.933744,4.0626965,20.625505,53.880886,64.52428,6.349886,40.98056,80.26681,39.197193,3.8574278,24.89486,48.760456,0.13585836,0.86040366,0.0,11.345824,0.08177946,0.51816744,0.0,6.8542356,0.15414725,0.9277733,0.0,11.408748,0.10607213,0.62426555,0.0,7.560997,0.004768082,0.4446675,-3.0669243,3.0802586,28.523767,1.4061793,23.651354,36.82481,16.884493,0.83238035,14.000294,21.79825,91.20613,18.821346,5.023465,115.49135,1075010.944182955,357307.6846050366,115435.4589,1314435.0277,labels (usage sort)
LNB_Mom_Female,0c39c4f8-ffce-4ba9-b5c0-6fa221762363,0,0.08626522327469553,0.07241830065359477,25170.33,7895.4116,92.0,35917.0,127427.0,0.0,127427.0,127427.0,2.1424067,6.8831363,-13.310805,34.324524,866.1611,116.961395,69.94294,1355.5607,513.5487,90.83772,0.0,814.0,-228.54175,93.78761,-406.64395,-36.6209,116.96225,57.05749,8.610371,233.72098,-87.80671,102.51691,-316.64294,64.17631,159.94719,60.77319,24.290451,250.04445,32.307137,9.951634,0.0,70.071884,60.798935,9.505345,13.826527,88.707306,36.988197,5.7827587,8.411633,53.966785,0.49578992,2.1781552,0.0,26.314693,0.29815075,1.3127204,0.0,15.926485,0.88128376,4.0088406,0.0,40.34403,0.7558357,3.619147,0.0,39.565487,-0.027670212,0.55671805,-2.8755972,2.98643,29.453358,2.5873857,8.072678,43.36792,17.460287,1.5338317,4.785575,25.708998,86.84235,25.010853,3.044748,124.641396,11801432.975560293,263403.7013862255,10965070.856,12160005.0141,labels (usage sort)
LNB_Mom_Female,365247e5-d810-4242-87f4-1c144f1a211f,0,0.022179974651457542,0.05523809523809524,11035.525,10856.54,46.0,35772.0,127427.0,0.0,127427.0,127427.0,3.0686264,10.100216,-18.696524,23.679054,1010.9568,96.74621,767.707,1224.0013,607.069,58.09508,461.0,735.0,-204.66428,108.63921,-380.3916,-35.195522,131.48857,66.09275,24.581474,234.58813,-115.9232,104.34198,-322.4589,32.560226,143.2794,61.85511,20.84269,231.30208,32.05293,8.482902,23.542856,56.399345,68.75641,8.131103,48.561726,85.07683,41.829277,4.946712,29.543455,51.758118,0.22355494,1.0080475,0.0,6.2512865,0.13461992,0.6085381,0.0,3.7789905,0.36200026,1.7695135,0.0,15.786898,0.297624,1.5798857,0.0,14.980932,0.057318583,0.3767336,-1.2762107,2.976886,30.636389,1.6157624,27.499224,35.587303,18.1616,0.95784223,16.301853,21.096558,89.33095,21.194712,9.992243,113.56752,635095610.4595009,361884.6007789796,634729293.0226,635920159.7587,labels (usage sort)
LNB_Mom_Female,ab57b6f6-dde4-4d79-ac91-bb679079dc72,0,0.0946058091286307,0.05662768031189084,22568.166,11369.741,347.0,35960.0,127427.0,0.0,127427.0,127427.0,-13.3230715,17.097818,-42.696377,13.164519,836.8359,105.166435,567.87006,1182.3687,502.5112,63.15134,341.0,710.0,-229.4643,110.51704,-383.68173,-31.22309,116.401,67.23516,22.579865,237.00484,-147.3643,94.22853,-328.4948,43.971264,124.64076,55.859745,17.26454,238.06667,28.60864,7.6713834,21.513292,63.61917,59.745697,7.8480983,36.419144,84.834854,36.34744,4.774541,22.156284,51.61091,0.52901024,1.9223402,0.0,13.842789,0.31769833,1.1528915,0.0,8.228363,0.5974331,2.0532212,0.0,14.280952,0.4060831,1.3647751,0.0,9.368197,-0.01103349,0.69790965,-3.0127048,3.0535352,28.933094,1.6102347,25.443527,35.173214,17.151867,0.95456535,15.083213,20.851082,84.822296,23.489548,3.0988553,113.54745,13690537.332731852,378991.32797365496,12949831.6456,14136932.1722,labels (usage sort)
LNB_Mom_Female,d58916e7-fff3-4763-8ac0-8637f3fe512f,0,0.0994236311239193,0.11227053140096618,28533.148,10952.483,83.0,35951.0,127427.0,0.0,127427.0,127427.0,10.8821335,8.312432,-27.008858,48.555313,831.8208,71.431496,63.374355,1199.1095,497.0525,51.791203,0.0,719.0,-122.07307,84.152275,-406.59793,-23.775265,181.84308,51.120804,9.0,241.557,-80.50524,76.034195,-355.49924,41.62486,164.34535,45.00804,1.5641025,236.63962,31.909555,5.4229345,0.0,56.29684,59.110054,5.729444,13.625553,81.68803,35.90816,3.4805212,8.277247,49.62382,0.22479934,1.4297462,0.0,19.86512,0.13464582,0.8548099,0.0,11.801022,0.26359186,1.5361874,0.0,19.89778,0.18346845,1.024605,0.0,11.855916,-0.015434384,0.42215115,-3.0988586,2.8667886,28.878656,1.6213309,6.678064,41.308353,17.094566,0.9597382,3.9530447,24.452261,93.05414,18.002996,9.836645,125.47177,7522371.672710761,365082.64286676294,6574034.1252,7769633.6727,labels (usage sort)
LNB_Mom_Female,fc32b078-718e-44c9-8ef8-f474a75942cd,0,0.01780821917808219,0.05512820512820513,19026.861,10808.016,309.0,35734.0,127427.0,0.0,127427.0,127427.0,-1.8017088,6.8222013,-14.9840355,14.233254,881.7806,105.00276,664.4579,1175.7074,529.5,63.05306,399.0,706.0,-213.93433,101.778885,-370.90155,-37.52437,125.84895,61.919136,30.354927,233.17133,-126.385025,99.35606,-328.03308,15.657478,137.07751,58.899403,17.538252,221.28194,29.44954,8.100236,21.256685,50.70719,63.22744,9.8740225,42.351055,92.1871,38.465622,6.007051,25.765076,56.08379,0.2888763,1.2041482,0.0,8.100784,0.17439173,0.7286837,0.0,4.928121,0.35176197,1.5277181,0.0,10.361462,0.2543582,1.1920577,0.0,9.368654,-0.058199905,0.54240125,-3.1072972,2.8071885,29.04221,2.1836205,24.921812,37.24898,17.216553,1.2944752,14.773934,22.081621,83.749886,17.95872,24.49819,113.64327,8271196.285030232,360267.7248729726,7647266.4249,8828101.5801,labels (usage sort)
NGH_Mom_Female,17914d49-f50c-422f-b0c2-c8152f3e3d90,0,0.09873487348734873,0.0711234911792015,24312.58,11640.525,128.0,35954.0,127427.0,0.0,127427.0,127427.0,1.6079512,8.19518,-10.378881,30.327883,797.1892,75.88762,605.3919,1110.719,478.0039,45.503098,363.0,666.0,-189.94925,100.34319,-405.2462,-25.657377,140.60968,60.956455,9.821161,240.41367,-175.32574,99.08218,-336.01862,41.935024,108.21685,58.651165,13.095566,236.82321,28.208567,5.8781266,20.971645,53.429752,58.971027,6.558282,39.98333,83.16324,35.823704,3.9840233,24.289062,50.51998,0.39690006,1.7281832,0.0,18.154417,0.23880923,1.0416318,0.0,11.018691,0.46575,1.8670391,0.0,18.159117,0.32416335,1.2631593,0.0,11.026433,-0.009205149,0.62727326,-3.0058212,3.0697796,28.078743,1.5504079,24.030853,36.240444,16.621063,0.9177557,14.2249365,21.45234,85.43057,19.315342,9.579665,117.84108,4172253.6168332854,388017.3585609818,3366101.3095,4560300.8051,labels (usage sort)
NGH_Mom_Female,36ddb5c0-d5b5-411e-9cbe-71f5e54869da,0,0.023728813559322035,0.054285714285714284,13875.588,11417.302,605.0,35451.0,127427.0,0.0,127427.0,127427.0,10.667365,8.389822,-8.826634,31.03672,922.0986,118.003586,682.7763,1209.0135,553.7105,70.85992,410.0,726.0,-213.30537,94.80189,-366.72852,-46.193623,126.23159,57.674545,32.89369,227.89722,-151.8491,105.245224,-321.64932,19.509277,121.982124,62.390568,21.322615,223.56532,30.353186,6.992289,23.314049,54.38405,62.762806,8.720369,45.605736,80.37888,38.182953,5.3052034,27.745123,48.900032,0.04938616,0.26811662,0.0,2.202829,0.029670533,0.16103436,0.0,1.3238912,0.05503405,0.2907858,0.0,2.3258681,0.037844025,0.1965711,0.0,1.5198343,0.018194837,0.41562322,-2.3790498,2.6541822,30.46056,1.5393162,27.230867,35.53314,18.057365,0.9125242,16.142767,21.064447,81.90641,21.616331,25.209318,113.58854,2203008.2996464917,380631.3145384684,1760587.2695,2922253.8652,labels (usage sort)
NGH_Mom_Female,6a0929cc-9113-44fe-b4c1-da1ca7632ef5,0,0.10754659333944394,0.06695075757575757,23813.207,11893.75,54.0,35954.0,127427.0,0.0,127427.0,127427.0,5.190968,7.1457443,-15.997019,41.149452,841.0456,76.33336,685.4437,1174.0934,502.8741,52.984947,0.0,704.0,-174.81142,101.8774,-386.75812,-25.684874,149.80562,61.88846,21.052288,240.39696,-177.97496,76.97739,-339.0004,44.72781,106.64867,45.566357,11.330519,238.4764,27.13585,6.2106566,0.0,52.562405,59.317856,6.3637505,42.95572,85.59679,36.034397,3.8658495,26.094728,51.998314,0.27342132,1.3233452,0.0,13.702346,0.16430654,0.7958081,0.0,8.245268,0.30486378,1.3843414,0.0,13.706802,0.20617947,0.8950655,0.0,8.25267,-0.037761204,0.50451,-2.9103405,2.876692,29.510704,1.4569972,26.371393,35.59968,17.468704,0.8624618,15.610407,21.073044,79.33862,22.714035,11.281571,116.2839,10547906.122888543,396458.1996790265,9755932.8564,10952599.3822,labels (usage sort)
NGH_Mom_Female,9f45197b-4e21-4ee3-9e84-3fde2831d7d4,0,0.014487870619946091,0.04496124031007752,18968.414,9678.811,354.0,34562.0,127427.0,0.0,127427.0,127427.0,3.1393864,10.486704,-11.028707,29.775011,970.81714,120.59566,721.07837,1342.2383,582.9655,72.41643,433.0,806.0,-197.82669,108.544815,-381.51135,-38.379425,135.64835,66.03532,23.900265,232.65114,-126.30294,91.82577,-296.64127,30.048798,137.12617,54.43536,36.14768,229.81326,31.589758,7.828096,23.624805,54.368507,65.96262,8.784241,47.218773,82.56459,40.129627,5.344061,28.726444,50.22975,0.17023814,1.296495,0.0,9.873812,0.103537925,0.7885213,0.0,6.0051994,0.19032353,1.4494609,0.0,11.038765,0.13402286,1.0206877,0.0,7.7733264,0.0018410393,0.0140209375,0.0,0.106780276,30.553905,1.7365322,26.42186,34.929806,18.112703,1.0294361,15.663179,20.706785,83.090225,21.936747,14.288831,111.83488,5032110.942181033,322627.40606756374,4411630.1049,5551898.2772,labels (usage sort)
