group,uuid,syllable,usage,duration,frame index_mean,frame index_std,frame index_min,frame index_max,kappa_mean,kappa_std,kappa_min,kappa_max,angle_mean,angle_std,angle_min,angle_max,area_mm_mean,area_mm_std,area_mm_min,area_mm_max,area_px_mean,area_px_std,area_px_min,area_px_max,centroid_x_mm_mean,centroid_x_mm_std,centroid_x_mm_min,centroid_x_mm_max,centroid_x_px_mean,centroid_x_px_std,centroid_x_px_min,centroid_x_px_max,centroid_y_mm_mean,centroid_y_mm_std,centroid_y_mm_min,centroid_y_mm_max,centroid_y_px_mean,centroid_y_px_std,centroid_y_px_min,centroid_y_px_max,height_ave_mm_mean,height_ave_mm_std,height_ave_mm_min,height_ave_mm_max,length_mm_mean,length_mm_std,length_mm_min,length_mm_max,length_px_mean,length_px_std,length_px_min,length_px_max,velocity_2d_mm_mean,velocity_2d_mm_std,velocity_2d_mm_min,velocity_2d_mm_max,velocity_2d_px_mean,velocity_2d_px_std,velocity_2d_px_min,velocity_2d_px_max,velocity_3d_mm_mean,velocity_3d_mm_std,velocity_3d_mm_min,velocity_3d_mm_max,velocity_3d_px_mean,velocity_3d_px_std,velocity_3d_px_min,velocity_3d_px_max,velocity_theta_mean,velocity_theta_std,velocity_theta_min,velocity_theta_max,width_mm_mean,width_mm_std,width_mm_min,width_mm_max,width_px_mean,width_px_std,width_px_min,width_px_max,dist_to_center_px_mean,dist_to_center_px_std,dist_to_center_px_min,dist_to_center_px_max,timestamps_mean,timestamps_std,timestamps_min,timestamps_max,syllable key
EE_Normal_Female,1d795a01-f608-4303-9ade-e67d4f335679,0,0.027062418158009603,0.5349462365591398,19141.375,9078.321,549.0,35929.0,8858668.0,0.0,8858668.0,8858668.0,13.537619,11.280029,-7.0367146,29.745352,782.6295,58.226284,627.8211,974.2052,469.96082,34.964275,377.0,585.0,-221.456,94.84992,-383.68524,-40.488914,121.27301,57.70377,22.57773,231.3678,-147.59027,102.640396,-321.05072,16.31549,124.506805,60.846394,21.677475,221.67201,25.16701,1.9859796,20.015982,34.807053,62.382977,4.638652,48.051098,78.671745,37.951878,2.822013,29.232805,47.86146,2.4522235,1.6218876,0.019931518,8.146615,1.4739707,0.9758414,0.011858837,4.843707,2.608279,1.5729237,0.15697457,8.151431,1.6933357,0.9438507,0.12175753,4.851803,0.39616248,2.0093136,-3.1357145,3.1407347,25.87809,1.1056392,21.89863,29.99895,15.340826,0.6554355,12.981757,17.783718,81.338005,21.540558,2.4559262,107.90293,9434528.84612975,302625.1696075693,8814775.6608,9994607.4573,labels (usage sort)
EE_Normal_Female,202fa122-9939-49a2-8f83-07fe8c6e59bb,0,0.019834710743801654,0.37962962962962965,16959.59,9184.938,1729.0,32717.0,8858668.0,0.0,8858668.0,8858668.0,-1.438243,8.533176,-28.673574,12.83618,792.5282,68.433975,596.18024,1017.5032,475.90488,41.093884,358.0,611.0,-256.50955,77.23143,-380.04678,-45.52401,99.9475,46.985218,24.79125,228.3046,-125.441345,103.37312,-319.31586,27.630945,137.63695,61.28076,22.705923,228.37994,24.24049,2.4950333,17.930885,31.30137,64.17372,5.636345,49.92446,81.79452,39.04131,3.4289784,30.372501,49.76126,2.0677938,1.4597996,0.034189425,8.542384,1.2418836,0.87586904,0.020268904,5.0947924,2.2757425,1.4209999,0.034319982,8.5579195,1.5277619,0.87583977,0.020488359,5.1207976,0.38729936,1.7985601,-3.140011,3.1237838,25.648857,1.2961525,22.338596,29.216497,15.204935,0.76837397,13.242575,17.319872,79.39579,23.601694,15.0793915,107.37658,13042708.318642432,306234.1146456924,12534864.134,13568596.5341,labels (usage sort)
EE_Normal_Female,2d0859c2-6e82-4940-957e-486c0d213782,0,0.016452442159383032,0.528125,19564.297,10336.243,75.0,35862.0,8858668.0,0.0,8858668.0,8858668.0,6.9128165,8.69923,-10.151589,33.13762,748.5313,53.429886,629.48645,942.56433,449.4852,32.084087,378.0,566.0,-207.9994,82.32853,-362.8187,-47.880817,129.45958,50.08614,35.272293,226.87079,-116.21292,85.2177,-287.1478,23.022575,143.10765,50.51802,41.775524,225.64804,24.723318,2.2258258,18.66353,30.939463,60.965942,4.5983777,47.86667,82.686615,37.089798,2.797511,29.120605,50.30399,2.4380617,1.6274911,0.087866135,8.745531,1.4684451,0.9793337,0.05301424,5.215101,2.5884495,1.6005431,0.19762616,8.879161,1.6845195,0.97309005,0.1271124,5.4362187,0.434573,1.8666753,-3.1305327,3.1402543,25.249683,1.0667988,23.008945,28.378773,14.9683,0.63241047,13.639965,16.82326,68.80914,24.03181,12.153097,106.60233,13066097.84976806,344680.6051440798,12416338.9881,13609737.7699,labels (usage sort)
EE_Normal_Female,5909c9db-9832-4cfa-a4d1-4d95a4045cdd,0,0.02102496714848883,0.34375,21701.492,10560.377,350.0,35906.0,8858668.0,0.0,8858668.0,8858668.0,-0.3230768,5.9535766,-19.198668,23.695883,774.08435,56.630917,597.4032,936.8747,465.17374,34.031452,359.0,563.0,-217.67429,88.1371,-360.0888,-41.295322,123.47562,53.6596,36.770855,230.8586,-150.88081,87.014,-306.65048,18.093786,122.4899,51.621082,30.079498,222.73415,24.251217,2.0302982,18.26477,30.396515,62.26425,4.5294538,49.928173,74.50982,37.9077,2.7576203,30.397253,45.36304,2.4214957,1.5735481,0.051890455,7.382156,1.4550023,0.9444937,0.03154772,4.4281907,2.6135175,1.499208,0.22854647,7.3915296,1.7199317,0.88859,0.16001521,4.488676,-0.07226669,1.7526494,-3.1317027,3.102867,25.577261,1.0183346,22.935757,28.351578,15.173718,0.6041274,13.606646,16.819584,71.05168,22.955101,2.604631,107.91909,14996675.595406666,352197.29160065413,14284768.1159,15470600.431,labels (usage sort)
EE_Normal_Female,7d71a72e-24dd-4b90-a7cd-966526f20d3f,0,0.013644366197183098,0.3827956989247312,19918.98,9675.544,2364.0,34993.0,8858668.0,0.0,8858668.0,8858668.0,0.3065885,10.971004,-14.716568,24.930065,764.6758,60.94481,594.51495,1010.842,459.17978,36.596718,357.0,607.0,-175.1768,89.37295,-366.28757,-48.68382,149.42784,54.371746,33.161945,226.38226,-156.48001,89.05504,-322.8906,9.937921,119.23687,52.792843,20.586782,217.89131,23.63341,2.255095,18.776316,29.274029,62.805042,5.3808475,47.44301,82.27156,38.20865,3.2735417,28.862862,50.05148,2.9789524,2.0029168,0.04159247,8.4262295,1.78546,1.199804,0.025301158,5.1157956,3.1556568,1.9276799,0.19076908,8.4262295,2.030067,1.1379522,0.16499503,5.185632,0.56299806,1.5057008,-3.0975254,3.1235435,25.149057,1.0372684,22.54312,27.951902,14.908648,0.61490446,13.363818,16.570206,76.63947,19.145855,35.627926,107.279594,11348641.767996358,322535.5054182134,10763465.1579,11851497.527,labels (usage sort)
EE_Normal_Female,de021bb2-cc2a-40ec-9e14-885816e7fe72,0,0.01584786053882726,0.38555555555555554,19758.41,9937.3125,260.0,33044.0,8858668.0,0.0,8858668.0,8858668.0,-11.946723,12.050851,-41.08372,11.563507,754.9956,56.03058,588.6559,909.5898,454.0317,33.695107,354.0,547.0,-212.42355,82.7293,-376.9174,-70.7925,126.578575,50.40375,26.358854,212.86888,-182.94109,80.80117,-314.19302,20.079124,103.39142,47.970093,25.469696,223.9206,24.346565,2.0688918,19.687357,30.323809,62.276768,4.343932,51.193798,74.27043,37.942818,2.6465893,31.190393,45.25009,2.5428505,6.794009,0.100635625,124.80397,1.5283318,4.0507174,0.061290145,74.38315,2.7392693,6.7716026,0.12711051,124.816765,1.7948357,4.0319552,0.07646508,74.40461,0.15593481,1.7863994,-3.1315556,3.1360652,24.935978,1.3427416,21.871979,29.050566,14.804007,0.79715973,12.98497,17.246758,69.46315,23.24154,16.32766,108.39328,14901991.2798294,331271.9866726236,14252004.115,15344869.9998,labels (usage sort)
EE_Normal_Female,f7e709f9-9ba7-4346-b987-754d3c5c2e32,0,0.025420077552778975,0.47457627118644063,17831.867,10757.042,683.0,34952.0,8858668.0,0.0,8858668.0,8858668.0,-3.38,8.190721,-28.633106,10.237902,770.5301,53.893192,616.16394,969.2092,462.69525,32.362297,370.0,582.0,-190.9282,100.017586,-387.10275,-42.346447,139.84517,60.847614,20.498623,230.23773,-119.00288,97.258316,-318.6252,27.336716,141.45374,57.655834,23.115343,228.20552,24.70027,2.201218,19.259542,31.925926,60.903637,4.474466,48.50713,75.319824,37.051895,2.7221272,29.51024,45.822258,2.6234953,1.9582576,0.06803227,14.978452,1.5755912,1.1734241,0.04033036,9.026061,2.7930934,1.9105786,0.07719385,15.52468,1.8127797,1.1434859,0.046512734,10.130637,0.15271011,1.9598039,-3.1397328,3.1407983,26.139244,1.2322733,21.35028,30.281298,15.495641,0.7305057,12.65669,17.9511,82.94778,21.820166,15.496746,111.51143,7517985.6849614335,358587.3724392866,6946343.5669,8088909.4019,labels (usage sort)
EE_Normal_Female,fd85aa4f-1503-44e3-bfda-62a1667c9976,0,0.02801358234295416,0.3984848484848485,19092.377,10674.337,457.0,34966.0,8858668.0,0.0,8858668.0,8858668.0,-5.7813163,10.90723,-25.430906,21.712875,769.28577,51.576904,614.49866,909.2582,461.94803,30.97139,369.0,546.0,-239.94737,89.04286,-385.06665,-48.924374,110.02342,54.170933,21.737331,226.23592,-145.87814,96.0661,-317.4942,28.591644,125.521774,56.949078,23.785824,228.94945,25.370693,2.3809934,19.463541,31.472221,60.668873,4.6697135,46.48089,74.60795,36.909073,2.8409097,28.277538,45.389175,2.8391588,1.8576862,0.033154063,14.421708,1.7073605,1.1173283,0.019792747,8.61947,3.0128996,1.8061647,0.20110016,14.44003,1.9539402,1.0833926,0.13888164,8.65009,0.17730433,1.7168888,-3.140072,3.1386876,26.180983,1.1149403,23.242985,29.67754,15.520385,0.6609493,13.778707,17.593184,77.11651,23.789923,9.359894,108.2621,11173616.311054612,355940.17616577575,10552306.8866,11703472.7138,labels (usage sort)
EE_Normal_Male,0e7e9b38-4cb6-400c-b0f5-6e4034920500,0,0.030057251908396948,0.5084656084656085,14692.419,12268.72,52.0,35752.0,8858668.0,0.0,8858668.0,8858668.0,-1.4233464,7.9227953,-16.74617,19.400597,878.04486,67.6128,695.58356,1196.4703,527.6472,40.63085,418.0,719.0,-233.06529,86.63234,-383.39682,-38.403557,114.10524,52.743477,22.580437,232.61916,-152.49976,101.29819,-318.73798,33.315407,121.52945,60.0952,22.908554,231.76437,26.399696,2.5031495,20.512104,35.79964,62.317467,5.002143,51.92842,81.18713,37.940105,3.0454035,31.61505,49.42833,2.2006161,1.6098418,0.049082745,15.920179,1.3216625,0.96652234,0.029824378,9.603199,2.3984523,1.5606489,0.06820017,15.922595,1.5916864,0.94948256,0.045891225,9.607204,0.056958385,1.871737,-3.1370938,3.1360815,29.220385,2.1374044,25.06521,34.423904,17.335007,1.2680161,14.8699465,20.421997,78.93069,19.23632,14.680573,108.67798,14772493.764192622,408958.7577489815,14284478.9976,15474545.6663,labels (usage sort)
EE_Normal_Male,37e31c07-bedb-4afd-a128-9e8eea3e6ed6,0,0.05245588936576061,0.5560606060606061,16475.318,10867.736,171.0,35540.0,8858668.0,0.0,8858668.0,8858668.0,5.6185994,8.439182,-14.728955,29.97709,891.8137,70.5055,701.09467,1204.0177,535.5248,42.337814,421.0,723.0,-193.71283,85.18002,-378.30194,-38.78298,138.1511,51.8209,25.85276,232.40562,-135.17828,99.53673,-324.1596,29.593866,131.86478,59.006508,19.834488,229.54358,26.179718,2.7538764,19.865486,36.1845,63.488583,5.179796,49.427433,81.18418,38.624496,3.1512282,30.070127,49.38995,1.9325864,1.6080613,0.01915555,10.827337,1.1598533,0.9645017,0.011638084,6.4323716,2.1415453,1.5649823,0.15708514,11.0456295,1.4422731,0.95397556,0.10788396,7.264034,0.1901034,1.7178028,-3.1292186,3.1399927,29.14997,1.7808131,25.363773,34.950012,17.280434,1.0556862,15.0359335,20.718765,75.70277,23.888393,4.41317,107.299065,10855422.947431926,362257.69243337173,10311945.417,11490911.6137,labels (usage sort)
